PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=164 ttl=64 time=236 ms
64 bytes from 10.42.0.3: icmp_seq=165 ttl=64 time=147 ms
64 bytes from 10.42.0.3: icmp_seq=166 ttl=64 time=56.5 ms
64 bytes from 10.42.0.3: icmp_seq=167 ttl=64 time=24.6 ms
64 bytes from 10.42.0.3: icmp_seq=168 ttl=64 time=47.4 ms
64 bytes from 10.42.0.3: icmp_seq=169 ttl=64 time=1007 ms
64 bytes from 10.42.0.3: icmp_seq=170 ttl=64 time=88.2 ms
64 bytes from 10.42.0.3: icmp_seq=171 ttl=64 time=226 ms
64 bytes from 10.42.0.3: icmp_seq=172 ttl=64 time=246 ms
64 bytes from 10.42.0.3: icmp_seq=173 ttl=64 time=67.0 ms
64 bytes from 10.42.0.3: icmp_seq=174 ttl=64 time=1152 ms
64 bytes from 10.42.0.3: icmp_seq=175 ttl=64 time=132 ms
64 bytes from 10.42.0.3: icmp_seq=176 ttl=64 time=40.4 ms
64 bytes from 10.42.0.3: icmp_seq=177 ttl=64 time=108 ms
64 bytes from 10.42.0.3: icmp_seq=178 ttl=64 time=104 ms
64 bytes from 10.42.0.3: icmp_seq=179 ttl=64 time=107 ms
64 bytes from 10.42.0.3: icmp_seq=180 ttl=64 time=51.3 ms
64 bytes from 10.42.0.3: icmp_seq=181 ttl=64 time=8.34 ms
64 bytes from 10.42.0.3: icmp_seq=182 ttl=64 time=40.7 ms
64 bytes from 10.42.0.3: icmp_seq=183 ttl=64 time=39.1 ms
64 bytes from 10.42.0.3: icmp_seq=184 ttl=64 time=1121 ms
64 bytes from 10.42.0.3: icmp_seq=185 ttl=64 time=403 ms
64 bytes from 10.42.0.3: icmp_seq=186 ttl=64 time=58.9 ms
64 bytes from 10.42.0.3: icmp_seq=187 ttl=64 time=35.4 ms
64 bytes from 10.42.0.3: icmp_seq=188 ttl=64 time=127 ms
64 bytes from 10.42.0.3: icmp_seq=189 ttl=64 time=324 ms
64 bytes from 10.42.0.3: icmp_seq=190 ttl=64 time=61.8 ms
64 bytes from 10.42.0.3: icmp_seq=191 ttl=64 time=432 ms
64 bytes from 10.42.0.3: icmp_seq=192 ttl=64 time=662 ms
64 bytes from 10.42.0.3: icmp_seq=193 ttl=64 time=345 ms
64 bytes from 10.42.0.3: icmp_seq=194 ttl=64 time=63.3 ms
64 bytes from 10.42.0.3: icmp_seq=195 ttl=64 time=60.3 ms
64 bytes from 10.42.0.3: icmp_seq=196 ttl=64 time=98.0 ms
64 bytes from 10.42.0.3: icmp_seq=197 ttl=64 time=585 ms
64 bytes from 10.42.0.3: icmp_seq=198 ttl=64 time=168 ms
64 bytes from 10.42.0.3: icmp_seq=199 ttl=64 time=163 ms
64 bytes from 10.42.0.3: icmp_seq=200 ttl=64 time=134 ms
64 bytes from 10.42.0.3: icmp_seq=201 ttl=64 time=257 ms
64 bytes from 10.42.0.3: icmp_seq=202 ttl=64 time=113 ms
64 bytes from 10.42.0.3: icmp_seq=203 ttl=64 time=712 ms
64 bytes from 10.42.0.3: icmp_seq=204 ttl=64 time=69.4 ms
64 bytes from 10.42.0.3: icmp_seq=205 ttl=64 time=209 ms
64 bytes from 10.42.0.3: icmp_seq=206 ttl=64 time=23.5 ms
64 bytes from 10.42.0.3: icmp_seq=207 ttl=64 time=978 ms
64 bytes from 10.42.0.3: icmp_seq=208 ttl=64 time=41.2 ms
