%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718110619836312194,0.0,0.0,0.0,0.0,0.0,0.0
1718110619887072092,0.0,0.0,0.0,0.0,0.0,0.0
1718110619936882431,0.0,0.0,0.0,0.0,0.0,0.0
1718110619990461768,0.0,0.0,0.0,0.0,0.0,0.0
1718110620042193472,0.0,0.0,0.0,0.0,0.0,0.0
1718110620087500403,0.0,0.0,0.0,0.0,0.0,0.0
1718110620137504425,0.0,0.0,0.0,0.0,0.0,0.0
1718110620187815454,0.0,0.0,0.0,0.0,0.0,0.0
1718110620235036752,0.0,0.0,0.0,0.0,0.0,0.0
1718110620286253298,0.0,0.0,0.0,0.0,0.0,0.0
1718110620336824818,0.0,0.0,0.0,0.0,0.0,0.0
1718110620387488967,0.0,0.0,0.0,0.0,0.0,0.0
1718110620433989406,0.0,0.0,0.0,0.0,0.0,0.0
1718110620488021039,0.0,0.0,0.0,0.0,0.0,0.0
1718110620535501777,0.0,0.0,0.0,0.0,0.0,0.0
1718110620586654178,0.0,0.0,0.0,0.0,0.0,0.0
1718110620633826051,0.0,0.0,0.0,0.0,0.0,0.0
1718110620687183281,0.0,0.0,0.0,0.0,0.0,0.0
1718110620734778034,0.0,0.0,0.0,0.0,0.0,0.0
1718110620786532732,0.0,0.0,0.0,0.0,0.0,0.0
1718110620835754978,0.0,0.0,0.0,0.0,0.0,0.0
1718110620886440172,0.0,0.0,0.0,0.0,0.0,0.0
1718110620935724633,0.0,0.0,0.0,0.0,0.0,0.0
1718110620986180850,0.0,0.0,0.0,0.0,0.0,0.0
1718110621035872159,0.0,0.0,0.0,0.0,0.0,0.0
1718110621084307288,0.0,0.0,0.0,0.0,0.0,0.0
1718110621134633747,0.0,0.0,0.0,0.0,0.0,0.0
1718110621188032322,0.0,0.0,0.0,0.0,0.0,0.0
1718110621236798278,0.0,0.0,0.0,0.0,0.0,0.0
1718110621286251679,0.0,0.0,0.0,0.0,0.0,0.0
1718110621336790398,0.0,0.0,0.0,0.0,0.0,0.0
1718110621386791535,0.0,0.0,0.0,0.0,0.0,0.0
1718110621437319393,0.0,0.0,0.0,0.0,0.0,0.0
1718110621487199105,0.0,0.0,0.0,0.0,0.0,0.0
1718110621539105770,0.0,0.0,0.0,0.0,0.0,0.0
1718110621591356484,0.0,0.0,0.0,0.0,0.0,0.0
1718110621643932287,0.0,0.0,0.0,0.0,0.0,0.0
1718110621694228995,0.0,0.0,0.0,0.0,0.0,0.0
1718110621740759131,0.0,0.0,0.0,0.0,0.0,0.0
1718110621787859900,0.0,0.0,0.0,0.0,0.0,0.0
1718110621837098740,0.0,0.0,0.0,0.0,0.0,0.0
1718110621885638653,0.0,0.0,0.0,0.0,0.0,0.0
1718110621939417084,0.0,0.0,0.0,0.0,0.0,0.0
1718110621987211323,0.0,0.0,0.0,0.0,0.0,0.0
1718110622036730144,0.0,0.0,0.0,0.0,0.0,0.0
1718110622088967783,0.0,0.0,0.0,0.0,0.0,0.0
1718110622135831076,0.0,0.0,0.0,0.0,0.0,0.0
1718110622185548784,0.0,0.0,0.0,0.0,0.0,0.0
1718110622232966389,0.0,0.0,0.0,0.0,0.0,0.0
1718110622291487999,0.0,0.0,0.0,0.0,0.0,0.0
1718110622336464574,0.0,0.0,0.0,0.0,0.0,0.0
1718110622385342265,0.0,0.0,0.0,0.0,0.0,0.0
1718110622432934212,0.0,0.0,0.0,0.0,0.0,0.0
1718110622484099588,0.0,0.0,0.0,0.0,0.0,0.0
1718110622535864115,0.0,0.0,0.0,0.0,0.0,0.0
1718110622586629776,0.0,0.0,0.0,0.0,0.0,0.0
1718110622636904456,0.0,0.0,0.0,0.0,0.0,0.0
1718110622690942242,0.0,0.0,0.0,0.0,0.0,0.0
1718110622736906508,0.0,0.0,0.0,0.0,0.0,0.0
1718110622787727624,0.0,0.0,0.0,0.0,0.0,0.0
1718110622842455326,0.0,0.0,0.0,0.0,0.0,0.0
1718110622893492000,0.0,0.0,0.0,0.0,0.0,0.0
1718110622939933360,0.0,0.0,0.0,0.0,0.0,0.0
1718110622983879364,0.0,0.0,0.0,0.0,0.0,0.0
1718110623036981228,0.0,0.0,0.0,0.0,0.0,0.0
1718110623087525188,0.0,0.0,0.0,0.0,0.0,0.0
1718110623136301496,0.0,0.0,0.0,0.0,0.0,0.0
1718110623187260581,0.0,0.0,0.0,0.0,0.0,0.0
1718110623236634845,0.0,0.0,0.0,0.0,0.0,0.0
1718110623286384467,0.0,0.0,0.0,0.0,0.0,0.0
1718110623336460797,0.0,0.0,0.0,0.0,0.0,0.0
1718110623383031017,0.0,0.0,0.0,0.0,0.0,0.0
