time,/actor2/velocity_data,/actor2/acceleration_data,/actor2/imu_data
1720981954.6779623,1.3065837038914467,0.7106476346734203,-0.0012000000000000001
1720981954.7780774,1.2578923548919978,-0.48691348999448936,-0.0014
1720981954.878038,1.2063461759263447,-0.5154617896565306,-0.002
1720981954.977962,1.2464432605938551,0.40097084667510385,-0.0006000000000000001
1720981955.0779626,1.2845763185079222,0.3813305791406707,-0.0018000000000000002
1720981955.1780488,1.2762963753393577,-0.08279943168564508,-0.0012000000000000001
1720981955.2780113,1.2238004988235285,-0.5249587651582921,-0.001
1720981955.3781657,1.2738770944797486,0.5007659565622014,-0.003
1720981955.4781914,1.3127942581717413,0.3891716369199272,-0.002
1720981955.577932,1.2841631211176499,-0.2863113705409148,-0.001
1720981955.6781073,1.2740989764312054,-0.10064144686444454,-0.003
1720981955.77792,1.2749387233686411,0.008397469374357147,-0.0022
1720981955.877976,1.2652851844794766,-0.09653538889164537,-0.001
1720981955.9778888,1.2373181607592076,-0.27967023720268935,-0.0012000000000000001
1720981956.0781677,1.284464779546486,0.4714661878727844,-0.002
1720981956.1784077,1.3354588241127665,0.5099404456628043,-0.002
1720981956.2781641,1.304319800858307,-0.31139023254459497,-0.0018000000000000002
1720981956.3787804,1.2483539840488314,-0.5596581680947565,-0.0014
1720981956.478528,1.2547304998943116,0.06376515845480268,-0.001
1720981956.5780616,1.287079901363286,0.3234940146897447,-0.0012000000000000001
1720981956.6785622,1.266953385046311,-0.2012651631697504,-0.0012000000000000001
1720981956.7784417,1.2577023330485972,-0.0925105199771381,-0.0018000000000000002
1720981956.8780088,1.2355877428795508,-0.22114590169046489,-0.0022
1720981956.9780245,1.290353726520425,0.5476598364087426,-0.001
1720981957.0781045,1.3457739352335858,0.5542020871316078,-0.0012000000000000001
1720981957.178037,1.4182263435324318,0.7245240829884603,-0.002
1720981957.2781892,1.4756297792755602,0.5740343574312834,-0.0026000000000000003
1720981957.3779523,1.3715977156258559,-1.040320636497043,-0.0018000000000000002
1720981957.4781597,1.3679016589375665,-0.036960566882893175,-0.0012000000000000001
1720981957.5782099,1.405059967695809,0.37158308758242553,-0.0026000000000000003
1720981957.6780326,1.5149369169987683,1.0987694930295921,-0.0022
1720981957.7778447,1.54071903479038,0.2578211779161177,-0.0014
