time,/actor1/acceleration_data,/actor1/velocity_data
1721061835,-0.9773519374,1.760270245
1721061836,0.7371163097,1.833981876
1721061836,-0.2202507811,1.811956798
1721061836,0.3376968956,1.845726487
1721061836,-0.1072633739,1.83500015
1721061836,-0.866929212,1.748307229
1721061836,0.6188184309,1.810189072
1721061836,-0.2791969108,1.782269381
1721061836,0.926547321,1.874924113
1721061836,1.005211394,1.975445252
1721061836,0.8277157422,2.058216827
1721061837,1.064375117,2.164654338
1721061837,-0.1159168691,2.153062651
1721061837,1.096671408,2.262729792
1721061837,0.3530944733,2.298039239
1721061837,1.105643195,2.408603559
1721061837,-0.4235134113,2.366252218
1721061837,-0.1994499117,2.346307227
1721061837,-0.2661689179,2.319690335
1721061837,0.07176150394,2.326866485
1721061837,-0.1831578123,2.308550704
1721061838,0.4130216658,2.349852871
1721061838,0.06351442499,2.356204313
1721061838,-0.3892618534,2.317278128
1721061838,-1.218684688,2.195409659
1721061838,0.5593581408,2.251345473
1721061838,0.833208417,2.334666315
1721061838,0.1712882688,2.351795142
1721061838,-0.7637662312,2.275418519
1721061838,-0.09419907303,2.265998611
1721061838,-0.3156128635,2.234437325
1721061839,-0.2091846964,2.213518855
1721061839,-0.0843389593,2.205084959
1721061839,-0.05599506462,2.199485453
1721061839,-1.263369435,2.073148509
1721061839,-0.9147534783,1.981673162
1721061839,0.8567118236,2.067344344
1721061839,0.4719258849,2.114536932
1721061839,0.4493955289,2.159476485
1721061839,0.1643273914,2.175909224
1721061839,0.1783747979,2.193746704
1721061840,0.4171552349,2.235462228
1721061840,-1.1180794,2.123654288
1721061840,-0.05685934389,2.117968353
1721061840,-0.03830852984,2.1141375
1721061840,0.4567444736,2.159811948
1721061840,0.1356955891,2.173381507
1721061840,-0.7858699543,2.094794511
1721061840,-0.04053418099,2.090741093
1721061840,0.2705066821,2.117791761
1721061840,0.6737000843,2.18516177
1721061841,0.4488513985,2.23004691
1721061841,-1.14634369,2.11541254
1721061841,0.1730004825,2.132712589
1721061841,0.1018538715,2.142897976
1721061841,0.9958832468,2.242486301
1721061841,-0.1579816467,2.226688136
1721061841,-0.617445648,2.164943571
1721061841,-0.7941114071,2.08553243
1721061841,0.4413851963,2.12967095
1721061841,-1.088586905,2.02081226
1721061842,-0.7706372916,1.94374853
1721061842,0.3409860319,1.977847134
1721061842,0.0272589095,1.980573024
1721061842,0.9661290876,2.077185933
1721061842,-0.3138471367,2.04580122
1721061842,-0.2050720476,2.025294015
1721061842,-0.1803570113,2.007258314
1721061842,-0.07196948891,2.000061365
1721061842,0.9742733008,2.097488695
1721061842,-0.4608537125,2.051403324
1721061843,-1.103459358,1.941057388
1721061843,0.1745390555,1.958511293
1721061843,1.033374883,2.061848782
1721061843,0.2966811332,2.091516895
1721061843,-1.155477517,1.975969143
1721061843,-0.01765434889,1.974203708
1721061843,0.7994316872,2.054146877
1721061843,0.4597078394,2.100117661
1721061843,0.0228722662,2.102404888
1721061843,-0.7450597805,2.02789891
1721061844,-0.3386558288,1.994033327
1721061844,-0.02375552852,1.991657774
1721061844,0.1169549331,2.003353267
1721061844,0.9228566768,2.095638935
1721061844,-0.4647908049,2.049159854
1721061844,-0.4201528138,2.007144573
1721061844,-0.1667100894,1.990473564
1721061844,-0.6306545677,1.927408107
1721061844,0.9023783684,2.017645944
1721061844,-0.244805349,1.993165409
1721061845,-0.7788960964,1.9152758
1721061845,0.04042797117,1.919318597
1721061845,0.5921807913,1.978536676
1721061845,0.09456666121,1.987993342
1721061845,-0.5196979779,1.936023544
1721061845,-0.4094270579,1.895080838
1721061845,0.8843121911,1.983512058
1721061845,0.8810469862,2.071616756
1721061845,-0.5968847064,2.011928285
1721061845,0.5084012957,2.062768415
1721061846,0.4956575039,2.112334165
1721061846,0.3334962473,2.14568379
1721061846,-1.656372425,1.980046548
1721061846,-0.1050308233,1.969543465
1721061846,0.8509242454,2.05463589
1721061846,1.206809884,2.175316878
1721061846,-0.9521132035,2.080105558
1721061846,-0.9429020936,1.985815349
1721061846,0.8554724891,2.071362597
1721061846,1.78965104,2.250327701
1721061847,0.2564698251,2.275974684
1721061847,-0.1299881864,2.262975865
1721061847,0.2144947972,2.284425345
1721061847,-0.123331294,2.272092216
1721061847,-0.2543248368,2.246659732
1721061847,0.9442202845,2.34108176
1721061847,1.282496236,2.469331384
1721061847,-1.158706076,2.353460776
1721061847,-1.09736897,2.243723879
1721061847,-0.6959984346,2.174124036
1721061848,0.1061562559,2.184739662
1721061848,1.316183106,2.316357972
1721061848,-0.4234062191,2.27401735
1721061848,-0.404861498,2.2335312
1721061848,0.4436137902,2.27789258
1721061848,0.6613081492,2.344023394
1721061848,0.4481790976,2.388841304
1721061848,0.2520966168,2.414050966
1721061848,-1.038240196,2.310226946
1721061848,-0.7864571721,2.231581229
1721061849,0.08030346394,2.239611575
1721061849,-0.3407630849,2.205535267
1721061849,0.8843009066,2.293965358
